tensor_index,shape,num_weights,mean_flips,max_flips,fraction_ever_flipped,fraction_flipped_10_plus,fraction_flipped_50_plus,parameter_name,block,tensor_type
0,"(768, 768)",589824,19.878902435302734,50,0.8318769931793213,0.6627892255783081,0.0030449761543422937,tensor_0,,other
1,"(768, 768)",589824,18.66120147705078,50,0.8009490966796875,0.6218889355659485,0.0005866157007403672,tensor_1,,other
2,"(768, 768)",589824,19.469968795776367,50,0.8315836787223816,0.6576283574104309,0.00420294888317585,tensor_2,,other
3,"(768, 768)",589824,18.12150001525879,50,0.7900882363319397,0.6018965244293213,0.0006205241079442203,tensor_3,,other
4,"(3072, 768)",2359296,20.473310470581055,50,0.8222529292106628,0.683262288570404,0.0007349650259129703,tensor_4,,other
5,"(768, 3072)",2359296,19.68802833557129,50,0.7984254956245422,0.6760004162788391,0.00032594468211755157,tensor_5,,other
6,"(768, 768)",589824,19.013469696044922,50,0.8071187138557434,0.6421966552734375,0.0028822156600654125,tensor_6,,other
7,"(768, 768)",589824,17.709972381591797,50,0.7716200351715088,0.6076796054840088,0.00017632378148846328,tensor_7,,other
8,"(768, 768)",589824,16.561080932617188,50,0.7531314492225647,0.5766381025314331,0.002383762039244175,tensor_8,,other
9,"(768, 768)",589824,16.54966163635254,50,0.7490013837814331,0.5602518916130066,0.0002509223122615367,tensor_9,,other
10,"(3072, 768)",2359296,19.53874397277832,50,0.8194465637207031,0.6837081909179688,7.205539441201836e-05,tensor_10,,other
11,"(768, 3072)",2359296,18.885982513427734,50,0.8075159192085266,0.6622751355171204,0.00012461344886105508,tensor_11,,other
12,"(768, 768)",589824,19.412900924682617,50,0.8044993281364441,0.645860493183136,0.0040740966796875,tensor_12,,other
13,"(768, 768)",589824,19.398120880126953,50,0.8006575107574463,0.655504047870636,0.00048828125,tensor_13,,other
14,"(768, 768)",589824,19.375722885131836,50,0.8014763593673706,0.6430342197418213,0.004024929367005825,tensor_14,,other
15,"(768, 768)",589824,19.012704849243164,50,0.7997928261756897,0.6408776044845581,0.0003882514138240367,tensor_15,,other
16,"(3072, 768)",2359296,18.118833541870117,50,0.7764968872070312,0.6436106562614441,5.086262899567373e-05,tensor_16,,other
17,"(768, 3072)",2359296,17.425546646118164,50,0.7506192326545715,0.6161329746246338,7.62939453125e-05,tensor_17,,other
18,"(768, 768)",589824,18.824472427368164,50,0.7823536992073059,0.63037109375,0.0032602946739643812,tensor_18,,other
19,"(768, 768)",589824,19.83513832092285,50,0.8010576367378235,0.6655205488204956,0.0008494059438817203,tensor_19,,other
20,"(768, 768)",589824,19.18355369567871,50,0.7960934042930603,0.6385752558708191,0.0032721625175327063,tensor_20,,other
21,"(768, 768)",589824,19.700632095336914,50,0.8004574179649353,0.658538818359375,0.0006679958896711469,tensor_21,,other
22,"(3072, 768)",2359296,14.46769905090332,50,0.7082507014274597,0.5327483415603638,2.1192763597355224e-05,tensor_22,,other
23,"(768, 3072)",2359296,12.506726264953613,50,0.636770486831665,0.46632978320121765,2.4159749955288135e-05,tensor_23,,other
24,"(768, 768)",589824,20.480026245117188,50,0.8341963291168213,0.6819084882736206,0.0032399494666606188,tensor_24,,other
25,"(768, 768)",589824,19.82126235961914,50,0.8032599687576294,0.6654765009880066,0.0007375081186182797,tensor_25,,other
26,"(768, 768)",589824,20.683433532714844,50,0.8408220410346985,0.6887054443359375,0.0037044950295239687,tensor_26,,other
27,"(768, 768)",589824,19.655065536499023,50,0.8043619990348816,0.6541340947151184,0.0006137423915788531,tensor_27,,other
28,"(3072, 768)",2359296,19.07879066467285,50,0.7891947627067566,0.6683171391487122,0.0001038445407175459,tensor_28,,other
29,"(768, 3072)",2359296,18.39954948425293,50,0.7745068669319153,0.6496441960334778,0.00013648139429278672,tensor_29,,other
30,"(768, 768)",589824,20.607112884521484,50,0.8345574140548706,0.6825053095817566,0.0037502713967114687,tensor_30,,other
31,"(768, 768)",589824,19.7338809967041,50,0.8030989170074463,0.6602562665939331,0.000701904296875,tensor_31,,other
32,"(768, 768)",589824,21.027965545654297,50,0.8453928828239441,0.6928287148475647,0.0037553575821220875,tensor_32,,other
33,"(768, 768)",589824,19.529565811157227,50,0.7995571494102478,0.6529354453086853,0.0006815592641942203,tensor_33,,other
34,"(3072, 768)",2359296,20.004743576049805,50,0.8070772290229797,0.6900036931037903,0.00019582112145144492,tensor_34,,other
35,"(768, 3072)",2359296,19.188039779663086,50,0.801275908946991,0.6788690686225891,0.00013563368702307343,tensor_35,,other
36,"(768, 768)",589824,20.81046485900879,50,0.8361952304840088,0.6856740117073059,0.0034010144881904125,tensor_36,,other
37,"(768, 768)",589824,19.96723747253418,50,0.8025970458984375,0.6694793701171875,0.0007731119985692203,tensor_37,,other
38,"(768, 768)",589824,21.01905632019043,50,0.8431854248046875,0.6934543251991272,0.0037282307166606188,tensor_38,,other
39,"(768, 768)",589824,19.796340942382812,50,0.800096333026886,0.6625162959098816,0.0006764729623682797,tensor_39,,other
40,"(3072, 768)",2359296,20.141271591186523,50,0.8080418705940247,0.690861165523529,0.0002780490613076836,tensor_40,,other
41,"(768, 3072)",2359296,19.190561294555664,50,0.7998648881912231,0.6793420910835266,0.00018437702965456992,tensor_41,,other
42,"(768, 768)",589824,20.930801391601562,50,0.8406727910041809,0.692108154296875,0.0025956896133720875,tensor_42,,other
43,"(768, 768)",589824,19.836814880371094,50,0.8069475293159485,0.6678280234336853,0.0005459255771711469,tensor_43,,other
44,"(768, 768)",589824,21.0374698638916,50,0.8464847207069397,0.6978285312652588,0.0025804308243095875,tensor_44,,other
45,"(768, 768)",589824,19.566089630126953,50,0.8030429482460022,0.6557583212852478,0.0004814995627384633,tensor_45,,other
46,"(3072, 768)",2359296,20.17588233947754,50,0.8063231706619263,0.6898706555366516,0.00034501816844567657,tensor_46,,other
47,"(768, 3072)",2359296,19.326053619384766,50,0.7975099682807922,0.6796548962593079,0.00020514594507403672,tensor_47,,other
48,"(768, 768)",589824,21.196062088012695,50,0.8389977216720581,0.6947445273399353,0.0034467908553779125,tensor_48,,other
49,"(768, 768)",589824,20.110727310180664,50,0.8041653037071228,0.6765730381011963,0.0007002088823355734,tensor_49,,other
50,"(768, 768)",589824,21.174694061279297,50,0.8461439609527588,0.698638916015625,0.003711276687681675,tensor_50,,other
51,"(768, 768)",589824,19.922714233398438,50,0.7984263300895691,0.6677059531211853,0.0007646348676644266,tensor_51,,other
52,"(3072, 768)",2359296,20.1927433013916,50,0.8062366843223572,0.6895548701286316,0.00038189359474927187,tensor_52,,other
53,"(768, 3072)",2359296,19.497528076171875,50,0.7972174882888794,0.6792517900466919,0.0003022087912540883,tensor_53,,other
54,"(768, 768)",589824,21.511213302612305,50,0.8461574912071228,0.7016940712928772,0.0033993192482739687,tensor_54,,other
55,"(768, 768)",589824,20.159021377563477,50,0.8098551630973816,0.6788787841796875,0.0005357530317269266,tensor_55,,other
56,"(768, 768)",589824,21.525609970092773,50,0.8515303134918213,0.7055850625038147,0.0033620197791606188,tensor_56,,other
57,"(768, 768)",589824,19.940906524658203,50,0.8037855625152588,0.673126220703125,0.0006086561479605734,tensor_57,,other
58,"(3072, 768)",2359296,20.342206954956055,50,0.8088162541389465,0.6917538046836853,0.00038401284837163985,tensor_58,,other
59,"(768, 3072)",2359296,19.75606346130371,50,0.7986462712287903,0.6818220615386963,0.0003365410666447133,tensor_59,,other
60,"(768, 768)",589824,21.558849334716797,50,0.8410831093788147,0.7002580761909485,0.0040181479416787624,tensor_60,,other
61,"(768, 768)",589824,20.214189529418945,50,0.8033430576324463,0.6788719892501831,0.0007375081186182797,tensor_61,,other
62,"(768, 768)",589824,21.50141716003418,50,0.8445315957069397,0.7031131386756897,0.0033060710411518812,tensor_62,,other
63,"(768, 768)",589824,20.03182029724121,50,0.7981838583946228,0.6745215654373169,0.0007646348676644266,tensor_63,,other
64,"(3072, 768)",2359296,20.375219345092773,50,0.8094660639762878,0.6929550170898438,0.00039121840381994843,tensor_64,,other
65,"(768, 3072)",2359296,19.8456974029541,50,0.8004832863807678,0.683528482913971,0.00031704374123364687,tensor_65,,other
66,"(768, 768)",589824,21.518627166748047,50,0.840179443359375,0.7002410888671875,0.0028669568710029125,tensor_66,,other
67,"(768, 768)",589824,20.21988868713379,50,0.8038177490234375,0.6795925498008728,0.0008884005947038531,tensor_67,,other
68,"(768, 768)",589824,21.553932189941406,50,0.8449351191520691,0.7036014199256897,0.0033535428810864687,tensor_68,,other
69,"(768, 768)",589824,20.224895477294922,50,0.8051130771636963,0.6802910566329956,0.0011647542705759406,tensor_69,,other
70,"(3072, 768)",2359296,20.145544052124023,50,0.8108308911323547,0.69159996509552,0.0003081427712459117,tensor_70,,other
71,"(768, 3072)",2359296,19.917341232299805,50,0.8044713139533997,0.6864721775054932,0.00030729506397619843,tensor_71,,other
