optimizer_step,tensor_num_weights,threshold,flipped_weights,stable_weights,flipped_mean_normalized_margin,flipped_median_normalized_margin,stable_mean_normalized_margin,stable_median_normalized_margin,fraction_flips_within_1pct,fraction_flips_within_5pct,fraction_flips_within_10pct,tensor_slot,total_weights,flip_rate,log10_threshold,threshold_log_change,abs_threshold_log_change
0,589824,4.0853182551551116e-15,136534,453290,0.015300944447517395,0.003798470366746187,0.0596393384039402,0.004026827868074179,0.7833726406097412,0.939048171043396,0.9716188311576843,0,589824,0.2314826117621528,-14.38877410533135,,
2,589824,2.8990126136252056e-14,128228,461596,0.09827212989330292,0.018599601462483406,0.11740588396787643,0.026984218508005142,0.24788658320903778,0.775750994682312,0.8565446138381958,0,589824,0.2174004448784722,-13.537749895022406,0.8510242103089443,0.8510242103089443
4,589824,3.15640661394459e-14,61578,528246,0.03834953531622887,0.015291400253772736,0.21203257143497467,0.029819820076227188,0.33123844861984253,0.8716099858283997,0.9360161423683167,0,589824,0.104400634765625,-13.500807055266932,0.036942839755473855,0.036942839755473855
6,589824,6.7000726256157e-14,72850,516974,0.05048954859375954,0.022425301373004913,0.2518811821937561,0.060082145035266876,0.22698695957660675,0.7755250930786133,0.8727522492408752,0,589824,0.12351142035590278,-13.173920489727054,0.32688656553987805,0.32688656553987805
8,589824,1.4932055158317636e-13,133284,456540,0.15987852215766907,0.06161302700638771,0.33341842889785767,0.1225895881652832,0.07617568224668503,0.398975133895874,0.7435175776481628,0,589824,0.22597249348958334,-12.825880414479142,0.34804007524791203,0.34804007524791203
10,589824,3.506284618117611e-13,191136,398688,0.5685601830482483,0.1629900187253952,0.43952062726020813,0.24360071122646332,0.025358907878398895,0.13048824667930603,0.27850326895713806,0,589824,0.3240559895833333,-12.455152833518627,0.3707275809605157,0.3707275809605157
12,589824,8.583616673343841e-13,219830,369994,1.2260328531265259,0.3161773681640625,0.5509446859359741,0.42856284976005554,0.013651457615196705,0.07090933620929718,0.14269207417964935,0,589824,0.3727043999565972,-12.066329685306869,0.3888231482117579,0.3888231482117579
14,589824,1.6568109731385228e-12,234934,354890,2.6081161499023438,0.4215712249279022,0.6849227547645569,0.5662968158721924,0.010713648051023483,0.05316387116909027,0.10818357765674591,0,589824,0.3983120388454861,-11.7807270377519,0.28560264755496867,0.28560264755496867
16,589824,3.780811601294953e-12,245304,344520,3.151343822479248,0.5998809337615967,0.9190273880958557,0.7115805149078369,0.0069383298978209496,0.035078924149274826,0.07047581672668457,0,589824,0.4158935546875,-11.422414963091454,0.35831207466044646,0.35831207466044646
18,589824,6.751659994974624e-12,245026,344798,4.567127704620361,0.596201479434967,1.111024260520935,0.7549816370010376,0.008746011182665825,0.043236229568719864,0.08574192225933075,0,589824,0.4154222276475694,-11.170589436350458,0.2518255267409959,0.2518255267409959
20,589824,1.2058175638540725e-11,246764,343060,4.030239582061768,0.7122403979301453,1.3708741664886475,0.7847161293029785,0.007152583450078964,0.035835862159729004,0.07300902903079987,0,589824,0.4183688693576389,-10.918718394521628,0.2518710418288297,0.2518710418288297
22,589824,2.1289957644055058e-11,253410,336414,4.546053886413574,0.6654787659645081,1.4402949810028076,0.8128765821456909,0.007793694268912077,0.038771163672208786,0.07680833339691162,0,589824,0.4296366373697917,-10.671825202581005,0.24689319194062342,0.24689319194062342
24,589824,3.541053561484375e-11,249814,340010,4.574923038482666,0.7421337366104126,1.563449501991272,0.8279355764389038,0.00819009356200695,0.040670257061719894,0.08116839081048965,0,589824,0.4235399034288194,-10.450867504114191,0.22095769846681357,0.22095769846681357
26,589824,5.0542143387177774e-11,241798,348026,4.683402061462402,0.7079867124557495,1.7647573947906494,0.7812541723251343,0.007655149791389704,0.03792421519756317,0.07450847327709198,0,589824,0.4099494086371528,-10.296346344499886,0.1545211596143048,0.1545211596143048
28,589824,8.100266291055647e-11,251322,338502,2.331483840942383,0.7099676132202148,1.7711002826690674,0.8039917349815369,0.008546805009245872,0.04428183659911156,0.09089534729719162,0,589824,0.4260965983072917,-10.091500703734303,0.20484564076558343,0.20484564076558343
30,589824,1.1834275226441093e-10,255080,334744,2.660433530807495,0.723800003528595,1.5378895998001099,0.817045271396637,0.008232710883021355,0.04238278046250343,0.0848831757903099,0,589824,0.4324679904513889,-9.926858334675815,0.1646423690584875,0.1646423690584875
32,589824,1.6247718448436643e-10,249140,340684,2.197924852371216,0.7546466588973999,1.4503085613250732,0.803255021572113,0.009926145896315575,0.04879585653543472,0.09607850760221481,0,589824,0.4223971896701389,-9.789207615289474,0.13765071938634144,0.13765071938634144
34,589824,2.176376440177208e-10,249328,340496,2.032541036605835,0.730298638343811,1.356252908706665,0.7819129824638367,0.008615157566964626,0.04020005837082863,0.07685057818889618,0,589824,0.4227159288194444,-9.662265984087771,0.12694163120170288,0.12694163120170288
36,589824,2.991236147664722e-10,253680,336144,1.5563390254974365,0.7051094174385071,1.2396761178970337,0.7911555171012878,0.009271522983908653,0.048817407339811325,0.09407127648591995,0,589824,0.4300944010416667,-9.524149299580078,0.13811668450769332,0.13811668450769332
38,589824,3.862213049377061e-10,256894,332930,1.7453962564468384,0.7280325293540955,1.1408659219741821,0.7775538563728333,0.010915007442235947,0.05610485002398491,0.11159466207027435,0,589824,0.4355434841579861,-9.413163773120893,0.11098552645918502,0.11098552645918502
40,589824,4.935878927803117e-10,251870,337954,1.6228495836257935,0.7399075031280518,1.0774701833724976,0.7839676737785339,0.010783340781927109,0.05365069583058357,0.10406956076622009,0,589824,0.4270256890190972,-9.306635501655506,0.10652827146538613,0.10652827146538613
42,589824,6.13290196405103e-10,247526,342298,1.599381446838379,0.7229838967323303,1.0336834192276,0.7742616534233093,0.01000702939927578,0.050006866455078125,0.10094697028398514,0,589824,0.4196607801649306,-9.212333977561318,0.09430152409418824,0.09430152409418824
44,589824,7.658644274322057e-10,251264,338560,1.4735841751098633,0.7220275402069092,0.9877659678459167,0.739578127861023,0.010009393095970154,0.051447879523038864,0.09796469658613205,0,589824,0.4259982638888889,-9.115848101945833,0.09648587561548538,0.09648587561548538
46,589824,9.739885564741257e-10,261180,328644,1.5949459075927734,0.7185249924659729,0.9759941697120667,0.8161947727203369,0.00873344112187624,0.045872580260038376,0.09739643335342407,0,589824,0.44281005859375,-9.011446145677171,0.10440195626866178,0.10440195626866178
48,589824,1.1416195766500437e-09,254882,334942,1.706852912902832,0.7604692578315735,0.987393856048584,0.7816031575202942,0.01294324453920126,0.06335873156785965,0.11865098029375076,0,589824,0.4321322970920139,-8.942478592487847,0.06896755318932435,0.06896755318932435
50,589824,1.3308045776483368e-09,242416,347408,1.525467872619629,0.7336795330047607,0.9996504783630371,0.7552480101585388,0.01203303411602974,0.056205034255981445,0.10297174751758575,0,589824,0.4109971788194444,-8.875885713931865,0.06659287855598173,0.06659287855598173
52,589824,1.6196071150886837e-09,249912,339912,1.4734550714492798,0.6870163083076477,0.9631940126419067,0.7452366948127747,0.01244437973946333,0.0640745535492897,0.12171083688735962,0,589824,0.4237060546875,-8.790590324002311,0.08529538992955388,0.08529538992955388
54,589824,1.8972403648120917e-09,254272,335552,1.513373851776123,0.7259749174118042,0.9725083708763123,0.7626254558563232,0.013992889784276485,0.06771095842123032,0.11206503957509995,0,589824,0.4310980902777778,-8.721877644072523,0.06871267992978858,0.06871267992978858
56,589824,2.264420873032691e-09,256346,333478,1.4277832508087158,0.7362600564956665,0.9733917117118835,0.7685122489929199,0.010337590239942074,0.053747665137052536,0.11274604499340057,0,589824,0.4346143934461806,-8.645042850518967,0.07683479355355516,0.07683479355355516
58,589824,2.5920712243276967e-09,259208,330616,1.5251024961471558,0.7371174693107605,0.9986454844474792,0.7721402645111084,0.012109965085983276,0.06321949511766434,0.12121153622865677,0,589824,0.4394666883680556,-8.58635306919515,0.058689781323817414,0.058689781323817414
