optimizer_step,global_flip_rate,median_abs_threshold_log_change,mean_abs_threshold_log_change
2,0.2608326335012177,0.889096333053458,1.0997557542411402
4,0.12948410599320023,0.03669781637709324,0.10758729455171628
6,0.11890107614022714,0.26675555565588915,0.2728302461443781
8,0.17249937410707827,0.21800348880392129,0.22988449646123876
10,0.2444331086712119,0.24217207877126956,0.24262400887952343
12,0.2998779438160084,0.20514285270034804,0.21873461344860998
14,0.3311297334270713,0.1790556510677881,0.17800567343890544
16,0.36067563516122325,0.14217707545015923,0.16560266372110896
18,0.38005222508936753,0.1442168883223891,0.1563656931144362
20,0.39642564750012055,0.14486836366121203,0.14480035791711993
22,0.4106852449016807,0.1268682594343149,0.13555883799819343
24,0.4151715879087095,0.11664137341087688,0.12397787323986949
26,0.42444013666223596,0.12242379906613365,0.119608787312579
28,0.42828458621178145,0.10458908417106016,0.1100323023139308
30,0.43021182072015457,0.10231795265806554,0.10692115199994713
32,0.4306754712705259,0.09789265158070037,0.0971789007783541
34,0.430721906968105,0.09886786299110639,0.09550139226601376
36,0.4334404203626845,0.09551715433561725,0.0959446801604261
38,0.4308631449569891,0.08267028375837171,0.08083704840140982
40,0.4292748769124349,0.08677865388678363,0.08304820754840071
42,0.43111250135633683,0.08406703429367912,0.08030629789254744
44,0.42861240292772834,0.07847124593757648,0.07440767334680043
46,0.4267766269636743,0.07100356882068048,0.07093409642602803
48,0.42669352778682,0.07028911752703415,0.06748310119831914
50,0.42336523974383317,0.061619300136100286,0.06122775154764456
52,0.4247835300586842,0.06491765978392294,0.06520787043510468
54,0.42471484196038894,0.060238303282347694,0.058076865916478794
56,0.41757212744818795,0.05181661510073621,0.05243526548596338
58,0.4171877849249192,0.0536565391784114,0.05146588108717452
60,0.42252203858928916,0.051863260027712244,0.053273520980656706
62,0.42049376169840497,0.04785207818279247,0.046359725668013954
64,0.41385794274600934,0.04256976550543978,0.04214441758048532
66,0.41416588536015264,0.04355200927804326,0.043447674787202295
68,0.4156208391542788,0.04175983814261297,0.04032418227822875
70,0.4140813144636743,0.038956302637272344,0.03893080658154116
72,0.4147663822880498,0.0355333060445675,0.03664756001663131
74,0.4124972496503665,0.03237368250452555,0.03244676771235049
76,0.4109977321860231,0.03111832220761812,0.032006168636731884
78,0.4117840189992646,0.029775559860923728,0.0301181590167675
80,0.40956153398678624,0.027722600705378575,0.02804319791374076
82,0.4116604298721125,0.02544639591346698,0.029690415920257358
84,0.4138032536447784,0.028301551208921083,0.02740930288496641
86,0.40842660268147785,0.023132590520384078,0.02208298761877388
88,0.4041210339393145,0.020889294555904492,0.020117981632398137
90,0.40997193183427977,0.02325242351773049,0.02299548439068536
92,0.4164672898657528,0.022056540981397532,0.022483173227147824
94,0.4124570775915075,0.01821040561426024,0.018097279058569782
96,0.4078388685061608,0.01672577652678786,0.016670300494574096
98,0.40662393452208717,0.014356165196430126,0.014348989645990748
